nb_letters,first_letter,top_word,score
6,A,ARITES,25.873428331936296
6,B,BAISER,21.942135289323552
6,C,CARIES,29.72257250945776
6,D,DERAIE,17.918735891647856
6,E,ETIRES,25.8755846585594
6,F,FURIES,14.955082742316783
6,G,GARNIE,15.189889025893958
6,H,HAIRES,7.547368421052631
6,I,INOUIE,6.407114624505929
6,J,JUNTES,5.661417322834645
6,L,LIURES,14.737127371273711
6,M,MARIES,13.610503282275712
6,N,NOIRES,8.266666666666667
6,O,ORTIES,7.584856396866841
6,P,PARIES,21.290611028315947
6,R,RETAIS,22.95026642984014
6,S,SAURIE,20.859430604982208
6,T,TARIES,14.505505505505504
6,U,USANTE,2.094736842105263
6,V,VARIES,9.115241635687733
7,A,ALAIRES,22.56917978458989
7,B,BATIERS,15.4508276533593
7,C,CARISTE,25.753329105897272
7,D,DETIRES,21.13203883495145
7,E,ENCIRES,25.13493253373313
7,F,FRUITES,10.725729803122878
7,G,GARNIES,9.706062931696088
7,H,HATIERS,5.390328151986183
7,I,INUITES,6.20552677029361
7,J,JOUITES,3.952380952380953
7,L,LATINES,8.957759412304867
7,M,MARINES,10.182035928143712
7,N,NATURES,5.147329650092081
7,O,OTARIES,5.926108374384237
7,P,PARTIES,15.635303913405496
7,R,RETIRES,22.47372845733501
7,S,SAURIES,14.187755102040816
7,T,TARITES,12.408450704225352
7,U,URINEES,1.726027397260274
7,V,VIRALES,5.937799043062201
9,A,AUTORISEE,10.926051130361293
9,L,LATINISEE,3.6621417797888394
